customer_id,age,gender,city_tier,employment_type,loan_amount_requested,credit_score,stage_applied,stage_docs_submitted,stage_credit_checked,stage_approved,stage_disbursed
48,25,Male,Tier 2,Self-Employed,875787,755,1,1,1,1,1
49,23,Female,Tier 1,Salaried,934388,767,1,1,1,1,1
50,27,Male,Tier 2,Self-Employed,748735,713,1,0,0,0,0
51,25,Male,Tier 2,Salaried,1736402,828,1,0,0,0,0
52,50,Female,Tier 2,Salaried,1604026,780,1,1,1,0,0
53,39,Female,Tier 2,Salaried,772779,748,0,0,0,0,0
54,47,Male,Tier 3,Self-Employed,1824293,763,1,0,0,0,0
55,55,Male,Tier 3,Self-Employed,1724990,833,1,0,0,0,0
56,31,Male,Tier 3,Self-Employed,58338,825,0,0,0,0,0
57,57,Male,Tier 3,Salaried,1775943,734,1,0,0,0,0
58,35,Male,Tier 3,Salaried,314621,759,1,1,1,1,1
59,52,Female,Tier 1,Self-Employed,784031,670,1,1,1,1,0
60,36,Male,Tier 1,Salaried,354567,765,1,0,0,0,0
61,29,Female,Tier 2,Self-Employed,388117,646,0,0,0,0,0
62,35,Female,Tier 3,Salaried,1042542,668,1,1,1,1,0
63,44,Female,Tier 2,Salaried,1914244,831,1,0,0,0,0
64,42,Female,Tier 2,Salaried,181440,655,1,1,1,0,0
65,37,Male,Tier 1,Self-Employed,862271,691,1,1,0,0,0
66,39,Male,Tier 1,Salaried,1740401,817,1,1,1,0,0
67,45,Female,Tier 2,Salaried,686190,840,1,0,0,0,0
68,47,Female,Tier 1,Salaried,937483,716,1,0,0,0,0
69,46,Female,Tier 1,Salaried,581427,709,1,0,0,0,0
70,50,Male,Tier 1,Salaried,732501,780,1,1,1,0,0
71,36,Female,Tier 1,Salaried,420458,563,1,1,0,0,0
72,22,Male,Tier 2,Self-Employed,376406,742,1,1,1,0,0
73,46,Female,Tier 1,Salaried,1760640,704,1,1,1,1,1
74,28,Female,Tier 2,Self-Employed,1755823,650,1,1,1,1,0
75,30,Male,Tier 1,Self-Employed,1896983,609,1,1,1,1,1
76,45,Female,Tier 3,Salaried,1606539,592,1,1,1,0,0
77,22,Male,Tier 1,Salaried,1754480,742,0,0,0,0,0
78,29,Male,Tier 2,Business,134984,658,1,1,1,0,0
79,45,Male,Tier 2,Salaried,662654,642,1,0,0,0,0
80,32,Female,Tier 1,Salaried,1275971,765,1,1,0,0,0
81,38,Female,Tier 3,Salaried,1743355,712,1,1,1,1,1
82,29,Female,Tier 2,Self-Employed,1673246,783,1,1,1,0,0
83,56,Male,Tier 2,Salaried,1384646,716,0,0,0,0,0
84,56,Female,Tier 1,Business,146538,697,1,1,1,0,0
85,54,Female,Tier 3,Business,163117,577,1,1,1,0,0
86,26,Male,Tier 3,Salaried,849765,808,1,0,0,0,0
87,49,Female,Tier 1,Salaried,329086,635,1,0,0,0,0
88,28,Male,Tier 1,Salaried,785580,657,0,0,0,0,0
89,30,Female,Tier 3,Salaried,1697261,666,1,1,0,0,0
90,29,Male,Tier 2,Salaried,1254481,564,1,0,0,0,0
91,33,Male,Tier 3,Salaried,572894,760,0,0,0,0,0
92,55,Male,Tier 2,Salaried,264062,580,1,1,1,0,0
93,54,Female,Tier 2,Salaried,1053462,831,1,0,0,0,0
94,44,Male,Tier 1,Salaried,857962,734,1,1,1,1,1
95,45,Male,Tier 1,Business,1145636,615,1,1,1,1,1
96,58,Female,Tier 2,Salaried,1179868,612,1,1,0,0,0
97,56,Female,Tier 3,Business,774918,777,1,1,0,0,0
98,43,Male,Tier 1,Salaried,91104,650,1,1,1,0,0
99,48,Male,Tier 2,Salaried,52634,688,1,1,0,0,0
100,56,Male,Tier 2,Salaried,770570,668,0,0,0,0,0
101,22,Male,Tier 2,Salaried,798041,606,1,1,1,0,0
102,56,Female,Tier 3,Salaried,319432,680,1,1,1,0,0
103,58,Female,Tier 3,Business,255600,586,1,1,0,0,0
104,35,Female,Tier 1,Business,1132829,660,1,1,1,0,0
105,24,Male,Tier 3,Salaried,963060,702,1,1,0,0,0
106,22,Female,Tier 3,Salaried,77005,799,1,0,0,0,0
107,26,Female,Tier 3,Salaried,822871,791,1,0,0,0,0
108,47,Female,Tier 2,Salaried,361968,757,1,1,1,1,1
109,35,Female,Tier 3,Salaried,389846,719,1,1,0,0,0
110,48,Female,Tier 1,Salaried,274673,806,1,0,0,0,0
111,30,Female,Tier 1,Salaried,496790,828,1,1,1,1,1
112,36,Male,Tier 3,Salaried,1640662,662,0,0,0,0,0
113,36,Female,Tier 1,Salaried,503928,724,1,1,1,1,0
114,47,Male,Tier 1,Salaried,734661,638,1,0,0,0,0
115,34,Female,Tier 3,Salaried,629555,684,0,0,0,0,0
116,53,Male,Tier 3,Business,1495686,843,1,0,0,0,0
117,53,Female,Tier 1,Salaried,53846,755,0,0,0,0,0
118,25,Female,Tier 3,Business,113571,622,0,0,0,0,0
119,51,Male,Tier 2,Self-Employed,1899489,808,1,1,1,1,1
120,58,Male,Tier 2,Business,174908,697,1,1,1,1,1
121,44,Female,Tier 3,Self-Employed,1665018,774,1,1,1,0,0
122,36,Female,Tier 2,Self-Employed,232248,654,1,1,1,0,0
123,50,Male,Tier 1,Business,1083549,593,0,0,0,0,0
124,57,Male,Tier 1,Salaried,179447,575,0,0,0,0,0
125,34,Female,Tier 2,Salaried,1024132,810,1,0,0,0,0
126,53,Male,Tier 2,Business,1867236,608,1,0,0,0,0
127,28,Male,Tier 3,Self-Employed,1630912,610,1,0,0,0,0
128,43,Male,Tier 3,Business,1125962,619,1,0,0,0,0
129,49,Male,Tier 2,Self-Employed,1787272,820,1,1,1,0,0
130,23,Male,Tier 3,Business,679082,806,0,0,0,0,0
131,27,Male,Tier 1,Self-Employed,991357,674,1,0,0,0,0
132,49,Male,Tier 1,Self-Employed,871145,568,1,1,1,1,1
133,49,Male,Tier 3,Salaried,1246439,668,1,1,1,1,1
134,41,Male,Tier 1,Business,1176057,615,1,0,0,0,0
135,51,Male,Tier 1,Self-Employed,1533365,794,1,1,1,0,0
136,32,Male,Tier 2,Self-Employed,1400619,606,1,0,0,0,0
137,49,Female,Tier 2,Self-Employed,1713081,593,1,1,1,0,0
138,46,Male,Tier 3,Salaried,1899983,561,1,1,1,1,1
139,54,Male,Tier 1,Salaried,294985,785,1,0,0,0,0
140,22,Male,Tier 1,Business,1171823,573,1,1,1,1,1
141,48,Male,Tier 1,Salaried,160295,806,1,0,0,0,0
142,34,Female,Tier 2,Salaried,1479765,833,1,0,0,0,0
143,24,Female,Tier 1,Salaried,1897113,800,1,1,1,1,0
144,27,Female,Tier 2,Self-Employed,623933,643,1,1,1,1,1
145,29,Female,Tier 3,Self-Employed,442435,571,1,1,1,1,1
146,48,Female,Tier 3,Self-Employed,1390866,706,1,1,1,1,1
147,30,Male,Tier 1,Self-Employed,1834710,638,1,0,0,0,0
148,58,Male,Tier 2,Salaried,447084,751,1,1,0,0,0
149,54,Male,Tier 2,Salaried,1021041,746,1,1,0,0,0
150,45,Male,Tier 3,Salaried,1405014,594,1,1,1,1,1
151,36,Male,Tier 3,Self-Employed,912028,628,1,1,0,0,0
152,53,Female,Tier 1,Salaried,448649,588,1,0,0,0,0
153,53,Male,Tier 2,Self-Employed,1645476,833,1,1,1,0,0
154,45,Female,Tier 1,Salaried,461038,704,0,0,0,0,0
155,33,Female,Tier 1,Salaried,1656984,698,1,1,1,1,1
156,23,Male,Tier 1,Business,1794940,601,1,0,0,0,0
157,24,Male,Tier 2,Salaried,71294,800,1,0,0,0,0
158,58,Male,Tier 2,Self-Employed,1182876,696,1,0,0,0,0
159,38,Male,Tier 1,Salaried,251168,807,1,1,1,1,0
160,23,Male,Tier 2,Salaried,918551,822,1,1,1,1,0
161,23,Male,Tier 1,Salaried,917528,674,1,0,0,0,0
162,49,Male,Tier 2,Salaried,709784,753,1,0,0,0,0
163,44,Male,Tier 1,Self-Employed,90615,805,1,1,1,1,1
164,58,Female,Tier 1,Salaried,1125439,680,0,0,0,0,0
165,53,Female,Tier 2,Salaried,1866435,570,1,0,0,0,0
166,54,Female,Tier 1,Salaried,1128045,627,0,0,0,0,0
167,22,Male,Tier 2,Self-Employed,677389,600,1,1,1,0,0
168,40,Male,Tier 1,Self-Employed,1617302,815,1,1,0,0,0
169,23,Female,Tier 2,Salaried,1777120,665,1,0,0,0,0
170,47,Male,Tier 1,Salaried,1450166,604,1,1,1,1,1
171,53,Male,Tier 2,Self-Employed,686901,841,1,0,0,0,0
172,27,Female,Tier 3,Self-Employed,531156,600,1,1,1,0,0
173,53,Female,Tier 1,Salaried,167456,822,1,1,1,1,1
174,25,Male,Tier 2,Self-Employed,216247,803,1,1,1,1,1
175,32,Male,Tier 1,Self-Employed,638160,610,1,0,0,0,0
176,38,Male,Tier 2,Self-Employed,1036831,774,1,1,1,0,0
177,59,Male,Tier 1,Self-Employed,1655072,652,1,1,1,0,0
178,45,Male,Tier 2,Business,233517,597,1,0,0,0,0
179,26,Male,Tier 2,Salaried,1150574,774,1,1,1,0,0
180,55,Male,Tier 3,Business,369138,782,1,0,0,0,0
181,27,Female,Tier 2,Salaried,1866647,619,0,0,0,0,0
182,43,Female,Tier 2,Self-Employed,233535,596,1,1,1,1,1
183,32,Female,Tier 2,Salaried,109895,777,1,1,1,0,0
184,37,Male,Tier 3,Salaried,1042669,559,1,0,0,0,0
185,54,Male,Tier 3,Self-Employed,1131470,734,1,1,0,0,0
186,30,Male,Tier 1,Self-Employed,596278,629,1,0,0,0,0
187,27,Male,Tier 3,Salaried,1534372,562,1,1,1,1,1
188,37,Male,Tier 2,Salaried,1171806,633,0,0,0,0,0
189,50,Female,Tier 3,Salaried,1658951,635,1,1,1,0,0
190,24,Female,Tier 3,Business,1893681,706,1,0,0,0,0
191,41,Male,Tier 1,Business,219271,693,1,1,1,0,0
192,57,Male,Tier 2,Salaried,1392907,612,1,1,1,1,1
193,40,Female,Tier 1,Business,513130,592,1,0,0,0,0
194,47,Male,Tier 1,Business,859985,707,1,1,1,1,1
195,24,Male,Tier 1,Salaried,1870745,734,1,1,1,1,0
196,40,Male,Tier 2,Self-Employed,757647,835,1,1,0,0,0
197,41,Female,Tier 1,Salaried,355924,573,1,1,1,1,1
198,53,Female,Tier 1,Self-Employed,1203370,754,1,1,1,1,1
199,28,Male,Tier 2,Salaried,1579852,773,1,0,0,0,0
200,54,Female,Tier 1,Salaried,1862803,650,1,1,0,0,0
201,39,Female,Tier 1,Salaried,1180734,753,1,1,1,0,0
202,22,Male,Tier 1,Salaried,1624284,557,1,0,0,0,0
203,32,Male,Tier 1,Self-Employed,752800,721,0,0,0,0,0
204,49,Male,Tier 2,Salaried,1819812,757,1,0,0,0,0
205,46,Female,Tier 1,Salaried,1142886,645,1,1,1,0,0
206,44,Male,Tier 3,Business,1335472,711,1,1,0,0,0
207,52,Female,Tier 2,Salaried,1666817,840,1,1,1,1,1
208,51,Male,Tier 1,Salaried,1365707,645,1,1,1,0,0
209,56,Female,Tier 1,Business,796958,694,1,1,0,0,0
210,28,Male,Tier 2,Business,750877,807,0,0,0,0,0
211,37,Female,Tier 2,Salaried,606744,849,1,1,1,0,0
212,47,Female,Tier 1,Salaried,1741627,651,1,1,1,1,1
213,23,Female,Tier 1,Business,1792116,726,1,1,1,1,0
214,22,Female,Tier 3,Salaried,505453,659,1,1,1,1,1
215,33,Male,Tier 1,Salaried,796204,747,1,1,1,1,1
216,26,Female,Tier 1,Salaried,1183974,678,0,0,0,0,0
217,58,Male,Tier 3,Salaried,1025009,686,1,1,1,1,0
218,53,Male,Tier 2,Self-Employed,254278,576,1,0,0,0,0
219,30,Male,Tier 1,Self-Employed,691471,686,1,1,1,1,1
220,56,Male,Tier 2,Business,401926,713,0,0,0,0,0
221,40,Male,Tier 1,Self-Employed,1046806,680,0,0,0,0,0
222,37,Female,Tier 2,Salaried,1883224,700,1,1,1,0,0
223,24,Male,Tier 2,Salaried,1652545,795,1,0,0,0,0
224,41,Female,Tier 3,Business,844755,659,1,1,1,0,0
225,45,Male,Tier 3,Salaried,1428113,622,0,0,0,0,0
226,54,Male,Tier 3,Salaried,1801159,835,1,1,1,1,1
227,45,Male,Tier 3,Business,146123,824,1,0,0,0,0
228,32,Female,Tier 2,Salaried,1189930,616,0,0,0,0,0
229,29,Female,Tier 1,Salaried,504048,599,1,1,1,0,0
230,57,Female,Tier 2,Business,1254895,552,1,1,1,0,0
231,59,Female,Tier 2,Business,1459528,775,1,0,0,0,0
232,41,Male,Tier 3,Salaried,1597563,615,1,1,1,1,1
233,56,Male,Tier 1,Business,1313724,704,1,1,1,1,1
234,46,Female,Tier 3,Salaried,1321021,660,1,0,0,0,0
235,56,Male,Tier 3,Salaried,320628,845,1,1,1,0,0
236,46,Male,Tier 3,Business,211754,805,1,1,1,0,0
237,50,Male,Tier 3,Business,1601938,823,1,1,1,1,1
238,39,Female,Tier 1,Salaried,1693323,704,0,0,0,0,0
239,39,Female,Tier 1,Salaried,177162,688,1,1,1,0,0
240,23,Male,Tier 1,Salaried,1533811,716,1,0,0,0,0
241,56,Male,Tier 1,Salaried,393600,568,1,1,1,0,0
242,37,Female,Tier 2,Salaried,1775874,772,1,0,0,0,0
243,57,Female,Tier 3,Salaried,629178,606,0,0,0,0,0
244,54,Male,Tier 3,Salaried,587607,843,1,1,1,1,1
245,25,Female,Tier 2,Salaried,560699,682,1,1,0,0,0
246,54,Male,Tier 1,Salaried,419841,841,0,0,0,0,0
247,35,Male,Tier 1,Self-Employed,176193,754,1,1,1,1,1
248,42,Female,Tier 1,Salaried,1944440,668,1,1,0,0,0
249,41,Female,Tier 1,Salaried,974404,802,0,0,0,0,0
250,29,Male,Tier 2,Business,117696,634,1,1,1,0,0
251,28,Female,Tier 1,Self-Employed,1031759,734,1,1,1,1,1
252,24,Female,Tier 1,Salaried,368629,774,1,1,1,0,0
253,38,Female,Tier 1,Salaried,1220935,697,0,0,0,0,0
254,54,Female,Tier 2,Self-Employed,1816229,829,1,1,0,0,0
255,33,Female,Tier 2,Salaried,187293,776,1,0,0,0,0
256,43,Male,Tier 2,Self-Employed,75294,835,0,0,0,0,0
257,43,Male,Tier 2,Salaried,1239686,833,1,0,0,0,0
258,51,Male,Tier 3,Salaried,1615549,730,1,0,0,0,0
259,59,Male,Tier 1,Salaried,1052691,658,1,0,0,0,0
260,59,Female,Tier 2,Self-Employed,759009,684,1,1,1,1,1
261,29,Male,Tier 2,Business,1106831,840,1,1,1,0,0
262,48,Male,Tier 2,Salaried,1822171,839,0,0,0,0,0
263,48,Male,Tier 3,Salaried,1732293,652,1,1,1,0,0
264,55,Male,Tier 1,Salaried,661752,750,1,0,0,0,0
265,42,Male,Tier 2,Salaried,491385,666,1,1,1,1,1
266,51,Female,Tier 1,Business,1492164,578,1,1,1,1,1
267,54,Male,Tier 2,Salaried,1544971,576,1,1,1,1,1
268,49,Female,Tier 1,Business,1025153,562,1,1,0,0,0
269,54,Female,Tier 1,Self-Employed,162848,591,1,1,1,0,0
270,26,Male,Tier 2,Business,986402,773,0,0,0,0,0
271,40,Male,Tier 2,Self-Employed,755443,570,1,0,0,0,0
272,25,Male,Tier 1,Salaried,598143,685,1,1,1,1,1
273,56,Female,Tier 2,Salaried,84758,770,1,1,1,1,1
274,38,Female,Tier 2,Salaried,299416,694,1,1,1,0,0
275,49,Male,Tier 1,Salaried,311272,559,0,0,0,0,0
276,51,Male,Tier 2,Salaried,679382,774,1,1,0,0,0
277,50,Female,Tier 2,Salaried,1959097,690,1,0,0,0,0
278,27,Male,Tier 2,Business,841815,655,1,1,1,1,1
279,56,Male,Tier 1,Salaried,1343527,817,1,1,1,0,0
280,58,Female,Tier 1,Self-Employed,110112,743,1,0,0,0,0
281,45,Female,Tier 2,Business,1492507,677,1,0,0,0,0
282,50,Female,Tier 3,Business,1763773,762,1,1,1,0,0
283,52,Female,Tier 2,Salaried,1025390,700,1,1,1,1,1
284,56,Female,Tier 1,Salaried,1542491,729,1,0,0,0,0
285,54,Male,Tier 2,Salaried,129486,575,1,1,0,0,0
286,42,Female,Tier 3,Salaried,647816,564,1,1,1,1,1
287,53,Female,Tier 1,Salaried,994321,571,1,1,1,1,1
288,44,Female,Tier 3,Self-Employed,1279451,614,1,1,1,0,0
289,54,Male,Tier 3,Salaried,1197930,800,1,1,1,0,0
290,24,Male,Tier 1,Salaried,1832829,570,1,1,0,0,0
291,39,Male,Tier 3,Business,1955286,782,1,1,1,0,0
292,46,Male,Tier 1,Salaried,567948,565,1,0,0,0,0
293,52,Male,Tier 3,Salaried,63369,821,0,0,0,0,0
294,24,Female,Tier 2,Self-Employed,1159004,754,0,0,0,0,0
295,45,Female,Tier 2,Salaried,710404,847,1,1,1,0,0
296,53,Male,Tier 2,Self-Employed,115123,709,1,0,0,0,0
297,43,Female,Tier 3,Salaried,1611536,590,1,1,1,0,0
298,44,Male,Tier 1,Business,1043328,657,1,0,0,0,0
299,23,Male,Tier 2,Salaried,927346,674,1,1,1,1,0
300,48,Male,Tier 1,Salaried,188333,701,1,1,1,0,0
301,23,Male,Tier 1,Salaried,1863086,562,1,0,0,0,0
302,47,Male,Tier 1,Salaried,1378784,752,0,0,0,0,0
303,38,Male,Tier 2,Salaried,1042839,628,0,0,0,0,0
304,54,Male,Tier 1,Salaried,1298706,591,1,1,0,0,0
305,30,Female,Tier 1,Salaried,1898698,718,1,1,1,0,0
306,50,Male,Tier 1,Salaried,969561,798,1,1,1,1,1
307,47,Female,Tier 1,Salaried,413169,670,1,1,1,0,0
308,56,Female,Tier 2,Salaried,1529381,821,1,1,1,1,1
309,46,Female,Tier 3,Self-Employed,1461587,849,1,0,0,0,0
310,45,Female,Tier 1,Salaried,64559,758,1,0,0,0,0
311,34,Male,Tier 3,Salaried,1093996,707,1,1,1,1,0
312,28,Male,Tier 2,Self-Employed,1933437,670,1,1,1,0,0
313,57,Female,Tier 2,Business,542461,776,0,0,0,0,0
314,41,Male,Tier 2,Salaried,1377692,573,1,1,1,1,1
315,22,Female,Tier 3,Salaried,91530,779,1,1,1,0,0
316,29,Female,Tier 1,Salaried,1090579,575,1,1,1,1,1
317,37,Female,Tier 2,Salaried,780433,607,1,1,1,0,0
318,35,Female,Tier 2,Self-Employed,1746161,814,0,0,0,0,0
319,33,Female,Tier 2,Salaried,248250,675,1,0,0,0,0
320,44,Female,Tier 3,Self-Employed,1362085,824,1,1,1,1,0
321,36,Male,Tier 1,Salaried,1335508,577,1,1,1,0,0
322,49,Female,Tier 2,Salaried,1557336,677,0,0,0,0,0
323,55,Male,Tier 2,Self-Employed,886115,643,1,0,0,0,0
324,23,Male,Tier 1,Salaried,1717220,740,1,0,0,0,0
325,53,Female,Tier 1,Salaried,965838,821,1,1,1,1,1
326,44,Male,Tier 2,Business,633184,554,1,0,0,0,0
327,43,Male,Tier 3,Business,1460059,706,1,1,1,0,0
328,46,Male,Tier 2,Self-Employed,1078571,601,1,1,1,0,0
329,43,Female,Tier 3,Salaried,461217,792,1,1,1,1,1
330,43,Male,Tier 2,Salaried,1905108,700,1,1,1,1,1
331,27,Female,Tier 1,Business,1481483,811,1,1,0,0,0
332,36,Male,Tier 1,Salaried,1509252,629,0,0,0,0,0
333,58,Female,Tier 1,Business,1319171,732,1,1,1,0,0
334,54,Female,Tier 1,Salaried,635933,656,1,1,1,1,0
335,29,Male,Tier 1,Salaried,1168127,703,1,1,1,0,0
336,26,Male,Tier 2,Business,249570,842,1,1,1,1,0
337,25,Male,Tier 2,Salaried,1365560,754,1,1,1,0,0
338,27,Female,Tier 1,Salaried,493280,665,1,1,1,1,1
339,53,Female,Tier 1,Salaried,1708933,566,0,0,0,0,0
340,51,Female,Tier 1,Salaried,922422,837,1,0,0,0,0
341,56,Male,Tier 2,Salaried,1670969,705,1,1,1,0,0
342,37,Female,Tier 1,Salaried,1104275,574,1,1,1,0,0
343,34,Female,Tier 1,Salaried,1618233,827,1,1,0,0,0
344,51,Female,Tier 3,Self-Employed,973426,675,1,0,0,0,0
345,40,Female,Tier 3,Salaried,1516711,849,1,1,1,0,0
346,38,Male,Tier 1,Business,763896,825,1,0,0,0,0
347,40,Male,Tier 2,Salaried,1518300,727,0,0,0,0,0
348,49,Female,Tier 1,Salaried,1972208,596,1,0,0,0,0
349,47,Female,Tier 3,Salaried,1458526,749,1,1,0,0,0
350,58,Female,Tier 2,Self-Employed,1517070,600,0,0,0,0,0
351,47,Male,Tier 1,Business,982366,844,1,1,1,1,1
352,44,Male,Tier 2,Self-Employed,1243246,819,0,0,0,0,0
353,30,Male,Tier 1,Salaried,510650,746,1,1,1,1,1
354,33,Male,Tier 1,Salaried,1318123,570,1,1,1,1,1
355,22,Female,Tier 1,Self-Employed,1749337,692,1,0,0,0,0
356,22,Female,Tier 2,Business,205846,797,1,0,0,0,0
357,55,Male,Tier 1,Business,757744,550,1,1,1,1,1
358,53,Male,Tier 1,Salaried,1363542,823,1,1,0,0,0
359,46,Male,Tier 1,Business,1004756,790,1,0,0,0,0
360,22,Male,Tier 1,Salaried,664873,607,0,0,0,0,0
361,37,Female,Tier 3,Salaried,137420,675,1,1,1,1,1
362,26,Female,Tier 1,Salaried,325196,601,1,1,0,0,0
363,43,Male,Tier 1,Salaried,1182150,772,1,0,0,0,0
364,50,Female,Tier 2,Self-Employed,1050015,818,0,0,0,0,0
365,24,Female,Tier 3,Business,704459,645,1,0,0,0,0
366,33,Female,Tier 3,Self-Employed,281224,822,0,0,0,0,0
367,47,Male,Tier 2,Self-Employed,1742743,610,1,0,0,0,0
368,37,Female,Tier 1,Salaried,1505061,730,1,0,0,0,0
369,58,Male,Tier 2,Self-Employed,1560369,682,1,0,0,0,0
370,43,Male,Tier 2,Salaried,1901559,638,1,0,0,0,0
371,50,Male,Tier 1,Self-Employed,119915,722,1,0,0,0,0
372,35,Male,Tier 3,Self-Employed,1368381,554,1,1,1,0,0
373,49,Male,Tier 1,Self-Employed,245619,753,1,1,1,0,0
374,26,Male,Tier 3,Salaried,384647,711,0,0,0,0,0
375,51,Male,Tier 3,Business,669694,610,1,0,0,0,0
376,26,Female,Tier 2,Salaried,1814550,739,0,0,0,0,0
377,33,Female,Tier 3,Salaried,1875907,612,1,1,1,1,1
378,37,Male,Tier 2,Self-Employed,1340151,593,0,0,0,0,0
379,47,Female,Tier 1,Salaried,1835146,788,1,0,0,0,0
380,47,Female,Tier 2,Business,922362,577,1,0,0,0,0
381,42,Female,Tier 1,Salaried,1767467,747,1,0,0,0,0
382,57,Male,Tier 1,Salaried,311697,818,1,1,1,0,0
383,54,Female,Tier 2,Business,1020504,720,1,1,1,1,1
384,51,Female,Tier 1,Salaried,986069,579,1,1,1,1,1
385,58,Female,Tier 1,Salaried,960966,703,1,1,0,0,0
386,44,Male,Tier 2,Salaried,1094601,758,1,1,1,1,1
387,31,Male,Tier 3,Salaried,444048,612,1,1,1,1,1
388,26,Female,Tier 1,Self-Employed,1538770,606,1,1,1,1,1
389,57,Male,Tier 1,Salaried,1574733,757,1,1,1,1,1
390,55,Male,Tier 1,Business,715545,612,1,1,1,1,1
391,52,Male,Tier 2,Self-Employed,1233140,797,1,1,1,1,1
392,31,Female,Tier 1,Salaried,239310,690,1,1,0,0,0
393,40,Female,Tier 2,Self-Employed,633147,642,1,1,0,0,0
394,53,Male,Tier 1,Self-Employed,1929638,656,1,1,1,0,0
395,22,Female,Tier 1,Salaried,1295472,637,1,1,1,1,1
396,26,Male,Tier 3,Salaried,221656,657,1,1,1,0,0
397,25,Female,Tier 1,Salaried,51076,595,1,0,0,0,0
398,37,Female,Tier 2,Self-Employed,1736732,626,1,1,1,1,0
399,45,Female,Tier 1,Self-Employed,1263787,766,1,1,1,1,1
400,37,Female,Tier 2,Salaried,771970,718,1,0,0,0,0
401,23,Male,Tier 2,Self-Employed,1267350,678,1,1,1,1,1
402,49,Female,Tier 1,Self-Employed,836329,750,0,0,0,0,0
403,53,Male,Tier 1,Self-Employed,1781471,745,1,1,1,1,0
404,48,Female,Tier 1,Self-Employed,1721207,817,1,1,1,1,1
405,41,Female,Tier 2,Salaried,1948713,637,1,1,1,1,1
406,45,Female,Tier 3,Business,209270,802,1,1,1,0,0
407,33,Male,Tier 2,Self-Employed,427014,787,1,0,0,0,0
408,56,Female,Tier 2,Self-Employed,567855,622,1,1,0,0,0
409,54,Male,Tier 1,Salaried,1980403,710,1,0,0,0,0
410,54,Male,Tier 1,Salaried,1813049,607,0,0,0,0,0
411,58,Female,Tier 1,Salaried,1464520,840,0,0,0,0,0
